Resource,SKU,Region,PricingModel,UnitPrice_USD,Unit,HourlyRate_USD,MonthlyRate_USD,Notes
VM Compute,Standard_D2s_v5 Windows,indonesiacentral,Consumption,0.200,1 Hour,0.200000,146.000000,"2 vCPU 8GB RAM; INCLUDES Windows Server license"
VM OS Disk,Standard HDD S10 128GB LRS,indonesiacentral,Consumption,5.890,1 Month,0.008068,5.890000,Standard_LRS; 127GB actual
SQL Compute (max 2 vCore),HS_S_Gen5_2 Serverless,indonesiacentral,Consumption,0.6849,1 vCore/Hour,1.369800,999.954000,Max: 2 vCores × $0.6849/vCore/hr
SQL Compute (min 0.5 vCore),HS_S_Gen5_2 Serverless,indonesiacentral,Consumption,0.6849,1 vCore/Hour,0.342450,249.988500,Min: 0.5 vCore × $0.6849/vCore/hr
SQL Compute (avg 1 vCore),HS_S_Gen5_2 Serverless,indonesiacentral,Consumption,0.6849,1 vCore/Hour,0.684900,499.977000,Typical: ~1 vCore average
SQL Storage (10GB),Hyperscale Data Stored,indonesiacentral,Consumption,0.108,1 GB/Month,0.001479,1.080000,$0.108/GB/month
SQL Backup (10GB LRS),Hyperscale Backup LRS,indonesiacentral,Consumption,0.0864,1 GB/Month,0.001183,0.864000,$0.0864/GB/month
Fabric Capacity,F2 (2 CUs),indonesiacentral,Provisioned,0.380,1 Hour,0.380000,277.400000,2 CUs × $0.19/CU/hr
Fabric - Mirrored DB,Mirroring (within F2),indonesiacentral,Included in F2,0.000,CU consumption,0.000000,0.000000,Consumes CUs from F2
Fabric - SQL Endpoint,SQL Analytics Endpoint,indonesiacentral,Included in F2,0.000,CU consumption,0.000000,0.000000,Consumes CUs from F2
Fabric - Semantic Model,Direct Lake on SQL,indonesiacentral,Included in F2,0.000,CU consumption,0.000000,0.000000,Consumes CUs from F2
Fabric - Power BI Report,FAQ_rpt,indonesiacentral,Included in F2,0.000,CU consumption,0.000000,0.000000,Consumes CUs from F2
AI Services Account,S0,eastus2,Free,0.000,Base,0.000000,0.000000,No base charge
GPT-5 Input Tokens,GlobalStandard cap-20,eastus2,Per Token,0.0025,1K tokens,variable,variable,Est. gpt-4o-1120 rate
GPT-5 Output Tokens,GlobalStandard cap-20,eastus2,Per Token,0.0100,1K tokens,variable,variable,Est. gpt-4o-1120 rate
text-embedding-3-small,GlobalStandard cap-50,eastus2,Per Token,0.000025,1K tokens,variable,variable,Confirmed from API
VNet,vnet-lab513-2139d8,indonesiacentral,Free,0.000,N/A,0.000000,0.000000,No charge
NSG,nsg-lab513-2139d8,indonesiacentral,Free,0.000,N/A,0.000000,0.000000,No charge
AI Foundry Project,FAQ-Assistant-project,eastus2,Free,0.000,N/A,0.000000,0.000000,Included in AI Services
,,,,,,,,
SUMMARY - FIXED COSTS PER HOUR,,,,,,,,
VM + Disk (always-on),,indonesiacentral,,,,0.208068,,Incl. Windows license
Fabric F2 (always-on),,indonesiacentral,,,,0.380000,,2 CUs provisioned
SQL Serverless (idle min),,indonesiacentral,,,,0.342450,,0.5 vCore min
SQL Serverless (typical),,indonesiacentral,,,,0.684900,,~1 vCore avg
SQL Serverless (peak max),,indonesiacentral,,,,1.369800,,2 vCores max
SQL Storage + Backup,,indonesiacentral,,,,0.002662,,10GB + backup
,,,,,,,,
TOTAL HOURLY (idle/min),,,,,,$0.933180,,All resources at min
TOTAL HOURLY (typical),,,,,,$1.275630,,Typical workload
TOTAL HOURLY (peak),,,,,,$1.960530,,Max utilization
,,,,,,,,
TOTAL MONTHLY (idle/min),,,,,,$681.22,,730 hrs
TOTAL MONTHLY (typical),,,,,,$931.21,,730 hrs
TOTAL MONTHLY (peak),,,,,,$1431.19,,730 hrs
,,,,,,,,
DISCLAIMER,,,,,,,,
"Harga diperoleh melalui Azure Retail Prices API (https://prices.azure.com/api/retail/prices)",,,,,,,,
"Harga dapat berubah sewaktu-waktu. Periksa Azure Portal untuk harga terkini.",,,,,,,,
"VM D2s_v5 Windows $0.200/hr SUDAH TERMASUK lisensi Windows Server.",,,,,,,,
"GPT-5: estimasi dari gpt-4o-1120 GlobalStandard (belum tersedia di retail API).",,,,,,,,
,,,,,,,,
METADATA,,,,,,,,
Query Date,,,,,,,2025-07-16,
Subscription,,,,,,,ME-MngEnvMCAP708029-benyibrani-1,
LAB_INSTANCE_ID,,,,,,,2139d8,
Deploy Regions,,,,,,,"indonesiacentral (VM/SQL/Fabric), eastus2 (AI Services)",
